order_date,otif,fill,ordered,fill_rate
2026-01-01,0.8853211009174312,2505,2517,0.9952324195470799
2026-01-02,0.8905472636815921,2422,2449,0.9889750918742344
2026-01-03,0.9145299145299145,2967,2986,0.993636972538513
2026-01-04,0.8798076923076923,2483,2505,0.9912175648702595
2026-01-05,0.9039301310043668,2663,2673,0.996258885147774
2026-01-06,0.9198113207547169,2457,2477,0.9919257165926524
2026-01-07,0.8874458874458875,2542,2560,0.99296875
2026-01-08,0.9121951219512195,2654,2663,0.9966203529853549
2026-01-09,0.8815165876777251,2195,2211,0.9927634554500226
2026-01-10,0.8672566371681416,2923,2961,0.9871664978047957
2026-01-11,0.9043824701195219,3327,3332,0.998499399759904
2026-01-12,0.880184331797235,2755,2765,0.9963833634719711
2026-01-13,0.8833333333333333,2536,2552,0.9937304075235109
2026-01-14,0.8728070175438597,2720,2736,0.9941520467836257
2026-01-15,0.9009009009009009,2570,2579,0.9965102753005041
2026-01-16,0.8808290155440415,2167,2183,0.9926706367384334
2026-01-17,0.8803827751196173,2790,2805,0.9946524064171123
2026-01-18,0.8646288209606987,2981,3023,0.9861065167052597
2026-01-19,0.898989898989899,2332,2338,0.9974337040205303
2026-01-20,0.8540540540540541,2190,2222,0.9855985598559855
2026-01-21,0.9195979899497487,2045,2055,0.9951338199513382
2026-01-22,0.917098445595855,2209,2213,0.9981924988703118
2026-01-23,0.8609625668449198,2140,2156,0.9925788497217068
2026-01-24,0.9009433962264151,2540,2546,0.997643362136685
2026-01-25,0.8756218905472637,3029,3040,0.9963815789473685
2026-01-26,0.9029535864978903,2817,2838,0.992600422832981
2026-01-27,0.8971428571428571,1902,1906,0.9979013641133263
2026-01-28,0.9032258064516129,2286,2294,0.9965126416739319
2026-01-29,0.892018779342723,2453,2472,0.9923139158576052
2026-01-30,0.9027777777777778,2387,2420,0.9863636363636363
2026-01-31,0.9117647058823529,2429,2432,0.998766447368421
2026-02-01,0.8836206896551724,3130,3159,0.9908198797087686
2026-02-02,0.855072463768116,2340,2370,0.9873417721518988
2026-02-03,0.8783783783783784,2458,2478,0.9919289749798225
2026-02-04,0.9067357512953368,2445,2462,0.9930950446791227
2026-02-05,0.8596491228070176,2520,2566,0.9820732657833203
2026-02-06,0.8987341772151899,2605,2635,0.9886148007590133
2026-02-07,0.8293650793650794,3305,3365,0.9821693907875185
2026-02-08,0.9108527131782945,3397,3423,0.9924043236926673
2026-02-09,0.86,2176,2191,0.9931538110451849
2026-02-10,0.9009433962264151,2594,2598,0.9984603541185527
2026-02-11,0.9150943396226415,2680,2696,0.9940652818991098
2026-02-12,0.8583690987124464,2878,2912,0.9883241758241759
2026-02-13,0.9032258064516129,2668,2678,0.9962658700522778
2026-02-14,0.8653061224489796,3203,3227,0.9925627517818407
2026-02-15,0.9009009009009009,2768,2797,0.9896317483017518
2026-02-16,0.8844444444444445,2677,2694,0.9936896807720861
2026-02-17,0.8888888888888888,2358,2400,0.9825
2026-02-18,0.9037433155080213,2184,2190,0.9972602739726028
2026-02-19,0.8883928571428571,2691,2703,0.9955604883462819
2026-02-20,0.8699551569506726,2640,2680,0.9850746268656716
2026-02-21,0.8755760368663594,2887,2906,0.9934618031658637
2026-02-22,0.9241071428571429,3043,3069,0.9915281850765721
2026-02-23,0.8806818181818182,2092,2102,0.9952426260704091
2026-02-24,0.8686868686868687,2431,2464,0.9866071428571429
2026-02-25,0.895397489539749,2678,2687,0.9966505396352809
2026-02-26,0.9023255813953488,2857,2869,0.9958173579644476
2026-02-27,0.8716814159292036,2771,2775,0.9985585585585586
2026-02-28,0.911504424778761,2914,2926,0.9958988380041012
2026-03-01,0.8888888888888888,3844,3851,0.9981822903142041
2026-03-02,0.8949416342412452,3660,3681,0.9942950285248574
2026-03-03,0.8699186991869918,3406,3430,0.993002915451895
2026-03-04,0.9033816425120773,2649,2667,0.9932508436445444
2026-03-05,0.8791208791208791,3527,3552,0.9929617117117117
2026-03-06,0.868995633187773,2977,3001,0.9920026657780739
2026-03-07,0.9230769230769231,4359,4375,0.9963428571428572
2026-03-08,0.9009009009009009,3139,3147,0.9974578964092787
2026-03-09,0.9192825112107623,2980,2992,0.9959893048128342
2026-03-10,0.9037037037037037,3670,3730,0.9839142091152815
2026-03-11,0.8488888888888889,2905,2929,0.9918060771594401
2026-03-12,0.9070631970260223,3583,3594,0.9969393433500279
2026-03-13,0.8806584362139918,2947,2977,0.9899227410144441
2026-03-14,0.875,3242,3255,0.9960061443932412
2026-03-15,0.888,3614,3653,0.9893238434163701
2026-03-16,0.8690476190476191,3401,3428,0.9921236872812136
2026-03-17,0.8780487804878049,3668,3682,0.9961977186311787
2026-03-18,0.8951965065502183,2729,2736,0.9974415204678363
2026-03-19,0.9065420560747663,2634,2644,0.9962178517397882
2026-03-20,0.8685258964143426,3321,3349,0.9916392953120334
2026-03-21,0.8671328671328671,3866,3900,0.9912820512820513
2026-03-22,0.8795986622073578,4628,4645,0.9963401506996771
2026-03-23,0.8657407407407407,2927,2946,0.993550577053632
2026-03-24,0.9137055837563451,2456,2470,0.994331983805668
2026-03-25,0.8962655601659751,3253,3265,0.9963246554364472
2026-03-26,0.8862068965517241,3748,3780,0.9915343915343915
2026-03-27,0.9116465863453815,3244,3257,0.9960085968682837
2026-03-28,0.8794642857142857,3312,3319,0.9978909310033143
2026-03-29,0.9004739336492891,3104,3123,0.9939161063080372
2026-03-30,0.9192825112107623,2868,2880,0.9958333333333333
2026-03-31,0.8955823293172691,3533,3548,0.9957722660653889
2026-04-01,0.8365019011406845,3997,4014,0.9957648231190832
2026-04-02,0.905982905982906,5390,5426,0.9933652782897162
2026-04-03,0.9175627240143369,4414,4432,0.9959386281588448
2026-04-04,0.867595818815331,4941,4959,0.9963702359346642
2026-04-05,0.8647058823529412,5593,5667,0.9869419445914946
2026-04-06,0.8571428571428571,4424,4474,0.9888243182834153
2026-04-07,0.9045801526717557,4258,4273,0.996489585771121
2026-04-08,0.8832116788321168,4024,4054,0.9925999013320178
2026-04-09,0.8821292775665399,4047,4065,0.9955719557195571
2026-04-10,0.8818565400843882,3584,3603,0.9947266167082986
2026-04-11,0.8817891373801917,5463,5492,0.9947195921340131
2026-04-12,0.9114391143911439,4369,4389,0.9954431533378901
2026-04-13,0.8861209964412812,4463,4477,0.9968729059638151
2026-04-14,0.9061488673139159,5192,5213,0.9959716094379436
2026-04-15,0.86,3912,3946,0.9913836796756209
